id,foo,bar,bim
0,2,1,7
1,5,2,6
2,5,1,1
3,7,4,6
4,8,8,8
5,6,5,9
6,7,0,7
7,4,4,4
8,2,2,5
9,1,5,5
10,9,9,1
11,9,6,5
12,0,3,6
13,1,4,0
14,2,6,5
15,7,6,9
16,9,9,7
17,3,2,4
18,6,6,0
19,0,6,3
20,9,8,2
21,5,0,0
22,4,1,2
23,7,6,2
24,0,6,8
25,4,5,2
26,3,1,2
27,0,4,8
28,9,7,4
29,8,8,0
30,5,4,8
31,4,0,9
32,9,7,6
33,1,3,7
34,3,4,5
35,8,0,4
36,7,1,5
37,7,3,1
38,0,7,9
39,3,6,8
40,9,5,3
41,9,9,9
42,1,2,6
43,4,4,4
44,3,5,1
45,2,4,9
46,7,1,5
47,8,3,6
48,4,8,8
49,5,8,0
50,7,4,2
51,2,7,1
52,4,2,9
53,8,0,9
54,0,3,4
55,1,7,5
56,4,5,4
57,1,6,1
58,7,2,5
59,5,6,8
60,2,1,2
61,7,0,5
62,5,0,8
63,7,3,3
64,8,2,0
65,1,3,1
66,1,7,7
67,1,2,8
68,1,2,5
69,1,3,5
70,6,2,9
71,8,3,8
72,8,6,5
73,5,1,8
74,6,5,0
75,2,1,0
76,1,2,0
77,6,6,8
78,4,0,6
79,4,6,4
80,6,8,6
81,6,3,1
82,2,0,1
83,5,3,2
84,2,0,8
85,1,6,6
86,9,0,3
87,6,8,5
88,0,5,2
89,2,8,3
90,9,7,5
91,6,7,5
92,7,5,8
93,0,2,8
94,2,5,2
95,1,8,6
96,3,1,5
97,1,3,7
98,0,7,7
99,4,5,1
100,7,0,9
101,3,7,7
102,3,3,2
103,6,4,9
104,1,7,5
105,3,9,3
106,2,0,2
107,6,1,6
108,7,2,8
109,4,9,8
110,6,2,9
111,3,6,1
112,5,7,2
113,8,0,2
114,7,8,1
115,5,2,4
116,0,1,4
117,8,4,9
118,5,9,6
119,5,5,9
120,2,6,6
121,6,3,2
122,4,6,2
123,3,4,2
124,7,8,4
125,2,6,1
126,5,2,4
127,9,1,5
128,5,3,9
129,6,6,9
130,4,1,6
131,7,0,0
132,8,6,2
133,0,1,5
134,8,8,4
135,7,9,5
136,9,9,8
137,3,9,2
138,4,7,2
139,6,9,5
140,3,6,6
141,6,0,3
142,9,2,5
143,2,1,6
144,0,3,1
145,4,9,9
146,0,9,3
147,8,4,6
148,9,7,7
149,3,9,9
150,4,4,9
151,9,0,8
152,1,9,4
153,8,5,5
154,2,2,9
155,2,8,5
156,0,8,1
157,5,5,3
158,1,1,7
159,5,9,9
160,6,7,2
161,6,3,7
162,8,9,6
163,2,7,5
164,6,0,0
165,8,1,1
166,7,9,8
167,2,6,1
168,5,8,3
169,6,9,6
170,6,2,7
171,5,5,1
172,7,8,1
173,2,7,9
174,9,4,5
175,4,8,1
176,8,9,1
177,4,1,2
178,2,0,6
179,7,9,0
180,4,6,6
181,2,5,5
182,8,0,3
183,2,7,4
184,1,2,7
185,7,0,9
186,8,5,2
187,6,3,5
188,0,8,8
189,4,7,7
190,7,9,0
191,2,3,5
192,8,7,4
193,0,5,9
194,7,8,1
195,4,1,3
196,4,9,3
197,7,2,0
198,5,6,9
199,0,7,7
200,5,2,2
201,7,3,0
202,3,3,8
203,6,5,4
204,7,8,2
205,7,7,9
206,5,0,7
207,9,1,0
208,8,4,6
209,6,5,1
210,0,3,1
211,8,9,9
212,7,2,0
213,4,2,3
214,0,6,7
215,1,9,9
216,9,8,6
217,0,3,0
218,5,2,8
219,7,8,0
220,0,1,6
221,6,5,2
222,8,2,1
223,7,8,6
224,8,9,8
225,7,9,7
226,4,9,3
227,0,0,4
228,7,3,7
229,5,4,6
230,8,5,1
231,6,0,4
232,5,7,8
233,7,8,0
234,0,5,0
235,0,0,8
236,3,7,7
237,8,1,6
238,9,6,7
239,9,6,2
240,5,7,8
241,2,6,5
242,6,4,3
243,1,4,9
244,1,2,0
245,0,0,7
246,2,4,0
247,5,3,3
248,0,0,3
249,6,8,2
250,0,5,0
251,7,1,6
252,9,0,5
253,8,1,3
254,6,3,7
255,0,9,1
256,6,0,0
257,4,6,9
258,5,0,2
259,7,1,3
260,8,2,6
261,6,7,0
262,0,7,9
263,0,3,6
264,7,2,2
265,9,0,5
266,8,2,0
267,6,8,9
268,0,5,4
269,8,5,8
270,9,6,6
271,5,4,5
272,1,7,9
273,4,4,0
274,4,5,9
275,3,8,6
276,3,6,2
277,9,1,6
278,0,7,9
279,3,0,9
280,5,3,3
281,9,4,4
282,1,1,6
283,4,0,4
284,7,1,6
285,5,8,2
286,7,8,4
287,0,5,1
288,1,6,3
289,1,9,9
290,5,8,1
291,1,3,1
292,3,5,1
293,1,8,4
294,3,6,6
295,1,9,9
296,1,0,4
297,9,1,9
298,7,0,0
299,8,0,3
300,2,9,5
301,3,7,1
302,9,8,0
303,4,7,8
304,7,5,2
305,0,3,3
306,5,7,0
307,8,9,7
308,9,2,0
309,8,6,4
310,1,6,3
311,7,4,8
312,6,5,2
313,4,7,7
314,7,6,7
315,4,8,0
316,7,1,1
317,1,2,0
318,4,8,9
319,7,7,7
320,4,3,4
321,8,3,7
322,1,4,7
323,6,6,7
324,4,1,4
325,5,2,8
326,9,0,9
327,2,9,8
328,0,3,4
329,6,8,7
330,0,1,6
331,6,8,8
332,4,5,7
333,0,8,7
334,8,6,0
335,3,8,2
336,4,3,9
337,3,5,0
338,9,6,7
339,5,5,0
340,6,7,1
341,0,0,4
342,9,5,3
343,1,7,8
344,3,7,8
345,7,8,6
346,2,8,9
347,2,4,3
348,2,5,1
349,3,9,7
350,2,2,1
351,7,7,1
352,2,4,5
353,8,1,0
354,1,0,0
355,9,6,2
356,7,3,8
357,6,2,0
358,5,6,7
359,1,6,5
360,3,0,8
361,6,7,0
362,0,2,6
363,2,3,6
364,8,4,0
365,8,7,2
366,1,3,5
367,8,2,5
368,9,9,9
369,2,0,0
370,9,5,6
371,2,1,1
372,3,5,4
373,1,6,8
374,3,3,1
375,5,3,8
376,7,7,2
377,1,3,7
378,9,2,6
379,9,7,9
380,3,9,9
381,2,9,5
382,2,5,6
383,7,8,4
384,5,6,4
385,1,9,6
386,3,0,3
387,3,8,4
388,4,0,1
389,8,3,4
390,5,4,7
391,2,5,7
392,3,4,2
393,8,2,6
394,9,2,6
395,5,4,0
396,9,5,0
397,8,2,2
398,9,2,1
399,5,4,5
400,9,9,6
401,2,6,9
402,1,8,0
403,2,2,6
404,0,3,4
405,7,5,3
406,4,3,8
407,1,2,3
408,6,3,4
409,6,2,5
410,7,7,9
411,8,1,2
412,6,8,4
413,1,9,7
414,1,0,5
415,0,8,0
416,8,5,9
417,8,2,3
418,0,2,6
419,7,2,6
420,3,3,2
421,7,9,3
422,0,3,6
423,9,2,8
424,6,7,1
425,5,0,5
426,1,8,5
427,2,1,4
428,0,5,9
429,2,7,6
430,1,5,0
431,7,1,6
432,9,8,4
433,4,9,2
434,7,5,4
435,8,7,7
436,2,2,5
437,1,3,8
438,5,8,6
439,4,4,9
440,1,9,5
441,1,4,4
442,7,7,7
443,2,5,0
444,1,9,3
445,0,1,2
446,0,5,8
447,7,4,4
448,3,4,2
449,7,6,3
450,8,1,3
451,9,3,6
452,4,9,2
453,5,5,9
454,6,3,3
455,4,7,3
456,5,9,3
457,2,2,2
458,0,2,8
459,5,3,2
460,8,5,4
461,3,0,5
462,7,1,0
463,2,3,8
464,8,0,1
465,0,1,3
466,5,9,2
467,2,3,6
468,7,4,4
469,2,1,4
470,3,4,0
471,1,8,2
472,3,4,3
473,3,9,0
474,3,6,5
475,2,3,7
476,4,9,2
477,8,3,2
478,4,8,7
479,7,8,0
480,6,8,9
481,2,0,6
482,1,2,2
483,9,5,1
484,9,2,7
485,4,4,2
486,4,0,4
487,7,9,9
488,0,5,2
489,0,0,0
490,3,0,8
491,0,7,8
492,6,6,9
493,1,0,1
494,8,8,5
495,2,5,4
496,2,5,8
497,3,1,9
498,6,5,1
499,1,2,8
500,7,8,5
501,9,6,4
502,9,3,0
503,5,1,8
504,3,0,9
505,8,8,3
506,2,4,0
507,2,9,5
508,9,2,0
509,3,4,0
510,3,6,0
511,3,6,0
512,4,5,0
513,4,2,4
514,9,5,8
515,8,9,8
516,7,0,9
517,5,1,6
518,4,8,9
519,2,7,9
520,7,1,4
521,8,0,4
522,2,1,2
523,0,4,8
524,3,5,7
525,7,8,0
526,6,7,6
527,4,3,6
528,7,7,5
529,2,1,1
530,1,0,7
531,7,5,9
532,7,9,9
533,7,5,8
534,1,9,3
535,2,9,7
536,5,8,0
537,4,6,9
538,7,3,9
539,1,5,3
540,4,0,5
541,2,1,1
542,0,7,7
543,2,5,2
544,4,3,6
545,7,4,9
546,1,7,0
547,7,1,3
548,0,7,4
549,3,4,7
550,8,4,3
551,5,2,3
552,1,7,8
553,9,3,0
554,5,0,8
555,4,0,7
556,4,3,1
557,4,8,1
558,6,2,9
559,1,4,8
560,1,9,0
561,0,4,9
562,6,9,9
563,3,1,9
564,5,7,2
565,1,9,4
